order,seasonal_order,bic,aic
"(1, 1, 2)","(2, 1, 0, 24)",27663.469103394167,27629.611081580802
"(1, 1, 1)","(2, 1, 0, 24)",27681.119823413897,27652.904805236092
"(0, 1, 2)","(2, 1, 0, 24)",27698.622902181836,27670.40548764645
"(1, 1, 0)","(2, 1, 0, 24)",27832.216391371094,27809.64437682885
"(0, 1, 1)","(2, 1, 0, 24)",27982.480497900746,27959.90656627244
"(1, 1, 2)","(1, 1, 0, 24)",28105.13607120534,28076.86385507299
"(1, 1, 1)","(1, 1, 0, 24)",28125.366204452133,28102.748431546253
"(0, 1, 2)","(1, 1, 0, 24)",28135.89729753344,28113.277629342047
"(1, 1, 0)","(1, 1, 0, 24)",28296.652555126977,28279.689225447568
"(0, 1, 1)","(1, 1, 0, 24)",28434.975882356695,28418.011131213152
